"story","effort_diff","benefit_diff","n","empirical_stat","ci_lower","mean","ci_upper"
"architects",1.71654003506721,1.19177253478524,113,0.081081081081081,-0.153947368421053,0.0870178308727446,0.308653198653199
"babysitting",2.66101694915254,3.24137931034483,113,-0.6,-0.772151898734177,-0.602266959917164,-0.417695147679325
"coffee",2.08474576271186,2.03448275862069,113,0.054054054054054,-0.172515212981744,0.0477751035029933,0.277125167336011
"concerts",2.47457627118644,2.68288177339901,113,0.626666666666667,0.438964273445551,0.630166751270063,0.794117647058824
"conversation",-0.11864406779661,0.879310344827586,113,0.61038961038961,0.424425711275026,0.604662977329938,0.763157894736842
"family meals",3.59322033898305,2.24137931034483,113,0.256410256410256,0.0399493670886076,0.259267479710386,0.47478354978355
"feedback",0.288135593220339,1.31034482758621,113,0.461538461538461,0.261863992172211,0.462399596478052,0.642881604696673
"fundraising",2.6271186440678,0.925589836660617,113,0.68421052631579,0.505869702719798,0.683047652453316,0.838741935483871
"gifts",3.64406779661017,3.29733817301875,113,0.388888888888889,0.147058823529412,0.38554404235884,0.609771935381691
"groceries",1.83050847457627,2.93103448275862,113,-0.36,-0.566730769230769,-0.356636421118589,-0.119047619047619
"group project",1.79661016949153,0.172413793103448,113,0.68,0.516082949308756,0.681158466282939,0.839103448275862
"housemates",1.91525423728814,1.05263157894737,113,-0.131578947368421,-0.351351351351351,-0.132566341246762,0.0952380952380952
"meeting location",1.16949152542373,0.38423645320197,113,-0.721518987341772,-0.866703296703297,-0.721461503444765,-0.566238868517549
"meeting prep",2.59322033898305,1.17241379310345,113,-0.0555555555555556,-0.27872131147541,-0.0508726651312783,0.194935064935065
"police",2.71186440677966,3.17241379310345,113,-0.466666666666667,-0.666666666666667,-0.467913828744608,-0.257968835429196
"restaurant",0.457627118644068,2.56896551724138,113,-0.569620253164557,-0.747198275862069,-0.568929991282788,-0.384615384615385
"scheduling",1,2.12068965517241,113,-0.534246575342466,-0.721536568213783,-0.534003307953466,-0.342105263157895
"weekend",1.80450029222677,1.81155474894132,113,-0.342465753424657,-0.558451107715814,-0.345825642650477,-0.13509009009009
