"subject_id","story","social_interaction","relationship","likert_rating","normalized_likert_rating"
"f2ef57c3f9c16cb0d0e0d280585a41da","conversation","repeating","higher",5,0.416666666666667
"f2ef57c3f9c16cb0d0e0d280585a41da","conversation","repeating","equal",4,0.333333333333333
"f2ef57c3f9c16cb0d0e0d280585a41da","conversation","repeating","lower",3,0.25
"f2ef57c3f9c16cb0d0e0d280585a41da","groceries","no_interaction","higher",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","groceries","no_interaction","equal",6,0.428571428571429
"f2ef57c3f9c16cb0d0e0d280585a41da","groceries","no_interaction","lower",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","restaurant","alternating","higher",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","restaurant","alternating","equal",6,0.428571428571429
"f2ef57c3f9c16cb0d0e0d280585a41da","restaurant","alternating","lower",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","coffee","alternating","higher",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","coffee","alternating","equal",6,0.428571428571429
"f2ef57c3f9c16cb0d0e0d280585a41da","coffee","alternating","lower",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","group project","no_interaction","higher",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","group project","no_interaction","equal",6,0.428571428571429
"f2ef57c3f9c16cb0d0e0d280585a41da","group project","no_interaction","lower",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","meeting location","alternating","higher",4,0.307692307692308
"f2ef57c3f9c16cb0d0e0d280585a41da","meeting location","alternating","equal",5,0.384615384615385
"f2ef57c3f9c16cb0d0e0d280585a41da","meeting location","alternating","lower",4,0.307692307692308
"f2ef57c3f9c16cb0d0e0d280585a41da","feedback","repeating","higher",5,0.357142857142857
"f2ef57c3f9c16cb0d0e0d280585a41da","feedback","repeating","equal",5,0.357142857142857
"f2ef57c3f9c16cb0d0e0d280585a41da","feedback","repeating","lower",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","police","repeating","higher",3,0.25
"f2ef57c3f9c16cb0d0e0d280585a41da","police","repeating","equal",4,0.333333333333333
"f2ef57c3f9c16cb0d0e0d280585a41da","police","repeating","lower",5,0.416666666666667
"f2ef57c3f9c16cb0d0e0d280585a41da","scheduling","no_interaction","higher",3,0.25
"f2ef57c3f9c16cb0d0e0d280585a41da","scheduling","no_interaction","equal",4,0.333333333333333
"f2ef57c3f9c16cb0d0e0d280585a41da","scheduling","no_interaction","lower",5,0.416666666666667
"f2ef57c3f9c16cb0d0e0d280585a41da","housemates","no_interaction","higher",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","housemates","no_interaction","equal",6,0.428571428571429
"f2ef57c3f9c16cb0d0e0d280585a41da","housemates","no_interaction","lower",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","babysitting","repeating","higher",3,0.25
"f2ef57c3f9c16cb0d0e0d280585a41da","babysitting","repeating","equal",4,0.333333333333333
"f2ef57c3f9c16cb0d0e0d280585a41da","babysitting","repeating","lower",5,0.416666666666667
"f2ef57c3f9c16cb0d0e0d280585a41da","family meals","repeating","higher",2,0.2
"f2ef57c3f9c16cb0d0e0d280585a41da","family meals","repeating","equal",3,0.3
"f2ef57c3f9c16cb0d0e0d280585a41da","family meals","repeating","lower",5,0.5
"f2ef57c3f9c16cb0d0e0d280585a41da","gifts","alternating","higher",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","gifts","alternating","equal",6,0.428571428571429
"f2ef57c3f9c16cb0d0e0d280585a41da","gifts","alternating","lower",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","architects","repeating","higher",4,0.307692307692308
"f2ef57c3f9c16cb0d0e0d280585a41da","architects","repeating","equal",5,0.384615384615385
"f2ef57c3f9c16cb0d0e0d280585a41da","architects","repeating","lower",4,0.307692307692308
"f2ef57c3f9c16cb0d0e0d280585a41da","concerts","no_interaction","higher",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","concerts","no_interaction","equal",6,0.428571428571429
"f2ef57c3f9c16cb0d0e0d280585a41da","concerts","no_interaction","lower",4,0.285714285714286
"f2ef57c3f9c16cb0d0e0d280585a41da","meeting prep","alternating","higher",3,0.272727272727273
"f2ef57c3f9c16cb0d0e0d280585a41da","meeting prep","alternating","equal",5,0.454545454545455
"f2ef57c3f9c16cb0d0e0d280585a41da","meeting prep","alternating","lower",3,0.272727272727273
"f2ef57c3f9c16cb0d0e0d280585a41da","weekend","alternating","higher",3,0.25
"f2ef57c3f9c16cb0d0e0d280585a41da","weekend","alternating","equal",4,0.333333333333333
"f2ef57c3f9c16cb0d0e0d280585a41da","weekend","alternating","lower",5,0.416666666666667
"f2ef57c3f9c16cb0d0e0d280585a41da","fundraising","no_interaction","higher",3,0.25
"f2ef57c3f9c16cb0d0e0d280585a41da","fundraising","no_interaction","equal",6,0.5
"f2ef57c3f9c16cb0d0e0d280585a41da","fundraising","no_interaction","lower",3,0.25
"461e8162cda1b8708f743138818b372a","meeting location","repeating","higher",1,0.1
"461e8162cda1b8708f743138818b372a","meeting location","repeating","equal",3,0.3
"461e8162cda1b8708f743138818b372a","meeting location","repeating","lower",6,0.6
"461e8162cda1b8708f743138818b372a","coffee","no_interaction","higher",4,0.307692307692308
"461e8162cda1b8708f743138818b372a","coffee","no_interaction","equal",5,0.384615384615385
"461e8162cda1b8708f743138818b372a","coffee","no_interaction","lower",4,0.307692307692308
"461e8162cda1b8708f743138818b372a","groceries","alternating","higher",3,0.230769230769231
"461e8162cda1b8708f743138818b372a","groceries","alternating","equal",7,0.538461538461538
"461e8162cda1b8708f743138818b372a","groceries","alternating","lower",3,0.230769230769231
"461e8162cda1b8708f743138818b372a","family meals","repeating","higher",3,0.25
"461e8162cda1b8708f743138818b372a","family meals","repeating","equal",3,0.25
"461e8162cda1b8708f743138818b372a","family meals","repeating","lower",6,0.5
"461e8162cda1b8708f743138818b372a","group project","alternating","higher",2,0.181818181818182
"461e8162cda1b8708f743138818b372a","group project","alternating","equal",7,0.636363636363636
"461e8162cda1b8708f743138818b372a","group project","alternating","lower",2,0.181818181818182
"461e8162cda1b8708f743138818b372a","concerts","repeating","higher",6,0.545454545454545
"461e8162cda1b8708f743138818b372a","concerts","repeating","equal",3,0.272727272727273
"461e8162cda1b8708f743138818b372a","concerts","repeating","lower",2,0.181818181818182
"461e8162cda1b8708f743138818b372a","conversation","no_interaction","higher",2,0.2
"461e8162cda1b8708f743138818b372a","conversation","no_interaction","equal",6,0.6
"461e8162cda1b8708f743138818b372a","conversation","no_interaction","lower",2,0.2
"461e8162cda1b8708f743138818b372a","feedback","repeating","higher",6,0.461538461538462
"461e8162cda1b8708f743138818b372a","feedback","repeating","equal",5,0.384615384615385
"461e8162cda1b8708f743138818b372a","feedback","repeating","lower",2,0.153846153846154
"461e8162cda1b8708f743138818b372a","police","repeating","higher",1,0.1
"461e8162cda1b8708f743138818b372a","police","repeating","equal",2,0.2
"461e8162cda1b8708f743138818b372a","police","repeating","lower",7,0.7
"461e8162cda1b8708f743138818b372a","fundraising","no_interaction","higher",1,0.111111111111111
"461e8162cda1b8708f743138818b372a","fundraising","no_interaction","equal",7,0.777777777777778
"461e8162cda1b8708f743138818b372a","fundraising","no_interaction","lower",1,0.111111111111111
"461e8162cda1b8708f743138818b372a","babysitting","no_interaction","higher",3,0.272727272727273
"461e8162cda1b8708f743138818b372a","babysitting","no_interaction","equal",5,0.454545454545455
"461e8162cda1b8708f743138818b372a","babysitting","no_interaction","lower",3,0.272727272727273
"461e8162cda1b8708f743138818b372a","gifts","no_interaction","higher",2,0.2
"461e8162cda1b8708f743138818b372a","gifts","no_interaction","equal",6,0.6
"461e8162cda1b8708f743138818b372a","gifts","no_interaction","lower",2,0.2
"461e8162cda1b8708f743138818b372a","architects","repeating","higher",5,0.384615384615385
"461e8162cda1b8708f743138818b372a","architects","repeating","equal",5,0.384615384615385
"461e8162cda1b8708f743138818b372a","architects","repeating","lower",3,0.230769230769231
"461e8162cda1b8708f743138818b372a","meeting prep","alternating","higher",2,0.2
"461e8162cda1b8708f743138818b372a","meeting prep","alternating","equal",6,0.6
"461e8162cda1b8708f743138818b372a","meeting prep","alternating","lower",2,0.2
"461e8162cda1b8708f743138818b372a","scheduling","alternating","higher",2,0.181818181818182
"461e8162cda1b8708f743138818b372a","scheduling","alternating","equal",7,0.636363636363636
"461e8162cda1b8708f743138818b372a","scheduling","alternating","lower",2,0.181818181818182
