"subject_id","story","likert_rating","strategy","altruistic_status_second"
"1a641fd69aa34d39a35388d23717b83d","meeting prep",5,"alternating","lower"
"1a641fd69aa34d39a35388d23717b83d","weekend",4,"repeating","lower"
"1a641fd69aa34d39a35388d23717b83d","babysitting",3,"repeating","just_met"
"1a641fd69aa34d39a35388d23717b83d","group project",5,"alternating","equal"
"1a641fd69aa34d39a35388d23717b83d","police",3,"repeating","equal"
"1a641fd69aa34d39a35388d23717b83d","architects",6,"alternating","higher"
"1a641fd69aa34d39a35388d23717b83d","family meals",4,"repeating","higher"
"1a641fd69aa34d39a35388d23717b83d","restaurant",5,"alternating","lower"
"1a641fd69aa34d39a35388d23717b83d","scheduling",3,"repeating","just_met"
"1a641fd69aa34d39a35388d23717b83d","housemates",6,"alternating","equal"
"1a641fd69aa34d39a35388d23717b83d","feedback",4,"repeating","equal"
"1a641fd69aa34d39a35388d23717b83d","concerts",3,"repeating","lower"
"1a641fd69aa34d39a35388d23717b83d","gifts",6,"repeating","higher"
"1a641fd69aa34d39a35388d23717b83d","coffee",6,"alternating","just_met"
"1a641fd69aa34d39a35388d23717b83d","fundraising",6,"alternating","just_met"
"1a641fd69aa34d39a35388d23717b83d","groceries",6,"alternating","higher"
"7693be758993f96baa7993076509e059","group project",4,"repeating","equal"
"7693be758993f96baa7993076509e059","weekend",5,"alternating","lower"
"7693be758993f96baa7993076509e059","restaurant",3,"repeating","lower"
"7693be758993f96baa7993076509e059","scheduling",5,"alternating","just_met"
"7693be758993f96baa7993076509e059","fundraising",3,"repeating","just_met"
"7693be758993f96baa7993076509e059","family meals",6,"alternating","higher"
"7693be758993f96baa7993076509e059","architects",3,"repeating","higher"
"7693be758993f96baa7993076509e059","housemates",2,"repeating","equal"
"7693be758993f96baa7993076509e059","babysitting",6,"alternating","just_met"
"7693be758993f96baa7993076509e059","meeting prep",3,"repeating","lower"
"7693be758993f96baa7993076509e059","groceries",4,"repeating","higher"
"7693be758993f96baa7993076509e059","gifts",4,"alternating","higher"
"7693be758993f96baa7993076509e059","concerts",5,"alternating","lower"
"7693be758993f96baa7993076509e059","police",5,"alternating","equal"
"7693be758993f96baa7993076509e059","coffee",3,"repeating","just_met"
"7693be758993f96baa7993076509e059","feedback",5,"alternating","equal"
"a8d99205dbf551974c22a1824c543e7e","weekend",6,"alternating","just_met"
"a8d99205dbf551974c22a1824c543e7e","feedback",5,"alternating","lower"
"a8d99205dbf551974c22a1824c543e7e","group project",4,"repeating","lower"
"a8d99205dbf551974c22a1824c543e7e","babysitting",4,"repeating","higher"
"a8d99205dbf551974c22a1824c543e7e","meeting prep",3,"repeating","just_met"
"a8d99205dbf551974c22a1824c543e7e","coffee",4,"alternating","higher"
"a8d99205dbf551974c22a1824c543e7e","police",6,"alternating","lower"
"a8d99205dbf551974c22a1824c543e7e","concerts",6,"alternating","just_met"
"a8d99205dbf551974c22a1824c543e7e","gifts",6,"alternating","equal"
"a8d99205dbf551974c22a1824c543e7e","family meals",6,"alternating","equal"
"a8d99205dbf551974c22a1824c543e7e","housemates",3,"repeating","lower"
"a8d99205dbf551974c22a1824c543e7e","fundraising",4,"alternating","higher"
"a8d99205dbf551974c22a1824c543e7e","scheduling",3,"repeating","higher"
"a8d99205dbf551974c22a1824c543e7e","restaurant",3,"repeating","just_met"
"a8d99205dbf551974c22a1824c543e7e","groceries",3,"repeating","equal"
"a8d99205dbf551974c22a1824c543e7e","architects",4,"repeating","equal"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","family meals",5,"alternating","lower"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","restaurant",7,"alternating","equal"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","feedback",6,"repeating","lower"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","scheduling",3,"repeating","higher"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","housemates",7,"alternating","equal"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","police",7,"alternating","just_met"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","babysitting",4,"repeating","equal"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","concerts",6,"repeating","higher"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","groceries",4,"alternating","lower"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","architects",5,"repeating","equal"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","fundraising",3,"repeating","lower"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","weekend",7,"alternating","just_met"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","group project",2,"repeating","just_met"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","coffee",4,"repeating","just_met"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","meeting prep",5,"alternating","higher"
"dd0e28b0e1eabbeb1bb2dd8052abe36a","gifts",7,"alternating","higher"
"038ecddfba7a11699158f7471c3c8223","coffee",4,"repeating","lower"
"038ecddfba7a11699158f7471c3c8223","gifts",4,"repeating","just_met"
"038ecddfba7a11699158f7471c3c8223","housemates",7,"alternating","higher"
"038ecddfba7a11699158f7471c3c8223","feedback",5,"repeating","equal"
"038ecddfba7a11699158f7471c3c8223","concerts",7,"alternating","just_met"
"038ecddfba7a11699158f7471c3c8223","meeting prep",3,"repeating","just_met"
"038ecddfba7a11699158f7471c3c8223","babysitting",5,"repeating","higher"
"038ecddfba7a11699158f7471c3c8223","fundraising",3,"repeating","equal"
