"subject_id","story","likert_rating","strategy","altruistic_status_second"
"75008e4129a37cf9e874dbf7c07f72f8","feedback",5,"repeating","higher"
"75008e4129a37cf9e874dbf7c07f72f8","groceries",7,"alternating","higher"
"75008e4129a37cf9e874dbf7c07f72f8","gifts",1,"repeating","lower"
"75008e4129a37cf9e874dbf7c07f72f8","fundraising",3,"repeating","higher"
"75008e4129a37cf9e874dbf7c07f72f8","weekend",7,"alternating","equal"
"75008e4129a37cf9e874dbf7c07f72f8","group project",3,"repeating","equal"
"75008e4129a37cf9e874dbf7c07f72f8","family meals",7,"alternating","higher"
"75008e4129a37cf9e874dbf7c07f72f8","restaurant",2,"repeating","just_met"
"75008e4129a37cf9e874dbf7c07f72f8","architects",7,"alternating","just_met"
"75008e4129a37cf9e874dbf7c07f72f8","housemates",1,"repeating","just_met"
"75008e4129a37cf9e874dbf7c07f72f8","scheduling",7,"alternating","lower"
"75008e4129a37cf9e874dbf7c07f72f8","babysitting",7,"alternating","just_met"
"75008e4129a37cf9e874dbf7c07f72f8","coffee",3,"repeating","equal"
"75008e4129a37cf9e874dbf7c07f72f8","concerts",5,"alternating","lower"
"75008e4129a37cf9e874dbf7c07f72f8","meeting prep",2,"repeating","lower"
"75008e4129a37cf9e874dbf7c07f72f8","police",7,"alternating","equal"
"87859ebe274168633eea12c09510439c","police",7,"alternating","higher"
"87859ebe274168633eea12c09510439c","fundraising",7,"alternating","just_met"
"87859ebe274168633eea12c09510439c","coffee",4,"repeating","higher"
"87859ebe274168633eea12c09510439c","concerts",7,"alternating","equal"
"87859ebe274168633eea12c09510439c","gifts",3,"repeating","equal"
"87859ebe274168633eea12c09510439c","babysitting",7,"alternating","lower"
"87859ebe274168633eea12c09510439c","housemates",1,"repeating","lower"
"87859ebe274168633eea12c09510439c","meeting prep",3,"repeating","equal"
"87859ebe274168633eea12c09510439c","weekend",7,"alternating","higher"
"87859ebe274168633eea12c09510439c","feedback",7,"alternating","just_met"
"87859ebe274168633eea12c09510439c","architects",7,"alternating","lower"
