"subject_id","story","strategy","generous_status_second","response","likert_rating"
"6948e7ab6695b2dbe71864e7ce48f43d","weekend","alternating","lower","annoyed",1
"6948e7ab6695b2dbe71864e7ce48f43d","weekend","alternating","lower","satisfied",6
"6948e7ab6695b2dbe71864e7ce48f43d","group project","repeating","just_met","annoyed",3
"6948e7ab6695b2dbe71864e7ce48f43d","group project","repeating","just_met","satisfied",3
"6948e7ab6695b2dbe71864e7ce48f43d","housemates","alternating","lower","annoyed",1
"6948e7ab6695b2dbe71864e7ce48f43d","housemates","alternating","lower","satisfied",6
"6948e7ab6695b2dbe71864e7ce48f43d","feedback","repeating","higher","annoyed",4
"6948e7ab6695b2dbe71864e7ce48f43d","feedback","repeating","higher","satisfied",3
"6948e7ab6695b2dbe71864e7ce48f43d","concerts","alternating","equal","annoyed",1
"6948e7ab6695b2dbe71864e7ce48f43d","concerts","alternating","equal","satisfied",7
"6948e7ab6695b2dbe71864e7ce48f43d","groceries","alternating","equal","annoyed",1
"6948e7ab6695b2dbe71864e7ce48f43d","groceries","alternating","equal","satisfied",7
"6948e7ab6695b2dbe71864e7ce48f43d","police","repeating","equal","annoyed",1
"6948e7ab6695b2dbe71864e7ce48f43d","police","repeating","equal","satisfied",7
"6948e7ab6695b2dbe71864e7ce48f43d","scheduling","repeating","just_met","annoyed",1
"6948e7ab6695b2dbe71864e7ce48f43d","scheduling","repeating","just_met","satisfied",6
"6948e7ab6695b2dbe71864e7ce48f43d","gifts","alternating","just_met","annoyed",1
"6948e7ab6695b2dbe71864e7ce48f43d","gifts","alternating","just_met","satisfied",7
"6948e7ab6695b2dbe71864e7ce48f43d","coffee","repeating","lower","annoyed",1
"6948e7ab6695b2dbe71864e7ce48f43d","coffee","repeating","lower","satisfied",6
"6948e7ab6695b2dbe71864e7ce48f43d","restaurant","alternating","just_met","annoyed",1
"6948e7ab6695b2dbe71864e7ce48f43d","restaurant","alternating","just_met","satisfied",5
"6948e7ab6695b2dbe71864e7ce48f43d","babysitting","repeating","higher","annoyed",1
"6948e7ab6695b2dbe71864e7ce48f43d","babysitting","repeating","higher","satisfied",5
"6948e7ab6695b2dbe71864e7ce48f43d","meeting prep","repeating","equal","annoyed",3
"6948e7ab6695b2dbe71864e7ce48f43d","meeting prep","repeating","equal","satisfied",3
"6948e7ab6695b2dbe71864e7ce48f43d","architects","alternating","higher","annoyed",3
"6948e7ab6695b2dbe71864e7ce48f43d","architects","alternating","higher","satisfied",2
"6948e7ab6695b2dbe71864e7ce48f43d","family meals","repeating","lower","annoyed",4
"6948e7ab6695b2dbe71864e7ce48f43d","family meals","repeating","lower","satisfied",2
"6948e7ab6695b2dbe71864e7ce48f43d","fundraising","alternating","higher","annoyed",3
"6948e7ab6695b2dbe71864e7ce48f43d","fundraising","alternating","higher","satisfied",3
"0334bd683c98bf8ad3c57a1b1d7b4718","concerts","alternating","just_met","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","concerts","alternating","just_met","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","housemates","alternating","higher","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","housemates","alternating","higher","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","group project","repeating","lower","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","group project","repeating","lower","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","architects","repeating","higher","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","architects","repeating","higher","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","feedback","repeating","equal","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","feedback","repeating","equal","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","coffee","repeating","lower","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","coffee","repeating","lower","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","scheduling","alternating","just_met","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","scheduling","alternating","just_met","satisfied",6
"0334bd683c98bf8ad3c57a1b1d7b4718","police","alternating","lower","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","police","alternating","lower","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","weekend","alternating","lower","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","weekend","alternating","lower","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","gifts","repeating","just_met","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","gifts","repeating","just_met","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","groceries","alternating","equal","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","groceries","alternating","equal","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","restaurant","alternating","higher","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","restaurant","alternating","higher","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","meeting prep","repeating","just_met","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","meeting prep","repeating","just_met","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","family meals","alternating","equal","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","family meals","alternating","equal","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","babysitting","repeating","higher","annoyed",1
"0334bd683c98bf8ad3c57a1b1d7b4718","babysitting","repeating","higher","satisfied",7
"0334bd683c98bf8ad3c57a1b1d7b4718","fundraising","repeating","equal","annoyed",2
"0334bd683c98bf8ad3c57a1b1d7b4718","fundraising","repeating","equal","satisfied",6
"29609eb9e41904622ad6869fa110531c","group project","repeating","lower","annoyed",3
"29609eb9e41904622ad6869fa110531c","group project","repeating","lower","satisfied",3
"29609eb9e41904622ad6869fa110531c","babysitting","repeating","higher","annoyed",1
"29609eb9e41904622ad6869fa110531c","babysitting","repeating","higher","satisfied",7
