subject_id,time_elapsed,gender,age,understood,pass_attention,comments
54ea5b40fdf99b768609982f,572532,male,34,yes,True,       consider adding spaces between the demographics on this last page. thanks!
55d9e4df69dbc30005b68346,1475280,male,29,yes,True,            
5b5a51302b05780001a8ae0b,1562771,male,35,yes,True,
5cb4d453ce95710018cc99e5,539798,male,52,yes,True,            
5ce7b20479642d00197682ea,863748,female,46,yes,True,            
5dae529fe663620012e038b6,598145,female,51,yes,True,            
5dbf9446a3f5cb419e9d28c8,1009405,female,56,yes,True,            
5dc2354a28e0d5185e05067c,483926,female,27,yes,True,            
5dd0d2f02b033b190687eaee,799620,male,69,yes,True,            
5e76654408484c1db5b1a292,1810996,female,36,yes,True,            
5f4575eb5017e9172787dde2,1092686,female,30,yes,True,            
5f9b15889c51902ece84d3e7,740408,female,34,yes,True,"I think it would have been better if the final question after each question was worded positively instead of ""Do they expect NOT to..."""
6019a7211839d5112bf03628,674566,male,25,yes,True,            
6075ff702ca9dd94767cca11,1036318,male,43,yes,False,            
60be9f464ad56ccf68bc2342,580919,female,28,yes,True,            
60fcc2322b3777e4020465cb,400007,female,31,yes,True,            
60fd9ffd7fb294e3f1647ea8,331843,male,24,yes,False,            
60fe1a43857cc5f00d4a78ec,832199,female,41,yes,True,            
6111dad4c8631872309363ce,561412,male,22,yes,True,            
622a3bbca995cbb8f616a54e,1618196,male,53,yes,True,            
62852880d0adbe3f66b92efc,551472,male,32,yes,True,            
62b5e02f3112243a7d47153c,389543,male,18,yes,True,            
62cccdcadf4fdbc4424844d5,763042,male,44,yes,True,            
62fbb36e4eb67a9e4bd73561,1397323,female,32,yes,True,            none
6303fb5b692c378ba1d010f9,568183,male,32,yes,False,            
636150837df0c4177e194d8c,857736,male,34,yes,True,            
63b6cf1609c12f37f2cf0371,795371,female,27,yes,True,            
63cef68c73e5d88fe27c36c8,1353786,female,48,yes,True,            
63f52af01929360880074598,422055,female,53,yes,True,            
