subject_id,time_elapsed,gender,age,understood,pass_attention,comments
80a6d26a911a2682be70c318a6fab73d,572532,male,34,yes,TRUE,consider adding spaces between the demographics on this last page. thanks!
bd768272685d0f33a5de3d2dbe6d9c4a,1475280,male,29,yes,TRUE,NA
a38504979abe4a68dbc0e316c68bd3ac,1562771,male,35,yes,TRUE,NA
fb88a38c823fbd58655681651c3ce663,539798,male,52,yes,TRUE,NA
bcc02370fd866aef385a2914751c8a17,863748,female,46,yes,TRUE,NA
3247dd670cc193d59d0f3f0a73c044bb,598145,female,51,yes,TRUE,NA
eb90e248b2ca91ee84c371589e27441e,1009405,female,56,yes,TRUE,NA
aa3d6fdfe13fab42f5728835a9c959b5,483926,female,27,yes,TRUE,NA
a79baa084507a24c75c8a071f3aa6f8b,799620,male,69,yes,TRUE,NA
9a854d311a78caadeb81e6464e6a46a3,1810996,female,36,yes,TRUE,NA
b16d2e97c285899585097769a85a1736,1092686,female,30,yes,TRUE,NA
7e78d9ad4021fa5c03731b9b692065f5,740408,female,34,yes,TRUE,"I think it would have been better if the final question after each question was worded positively instead of ""Do they expect NOT to..."""
f8362a59c4ee58cdde56379e1ccbaebd,674566,male,25,yes,TRUE,NA
34f82bd7a29a361e43c3d8fbabceb58c,1036318,male,43,yes,FALSE,NA
e811398b42b6c07b72a2abce302fb4f7,580919,female,28,yes,TRUE,NA
e59ee8f9344ff48bd0d5187014baf1fb,400007,female,31,yes,TRUE,NA
bf13b8cef6cabf4b3f08f3c12dedfb92,331843,male,24,yes,FALSE,NA
c60ceeea86598281177a39a6a90fafa3,832199,female,41,yes,TRUE,NA
5682d8f20646ae3eb15c20d9459b296d,561412,male,22,yes,TRUE,NA
d2e93fc709dc7b67bd96edbd1b629e65,1618196,male,53,yes,TRUE,NA
9b25bb62f95b812c64e70bea7602bba8,551472,male,32,yes,TRUE,NA
05cd43e83840daf7a8997e1e5c7c7524,389543,male,18,yes,TRUE,NA
34ed565104998d4fd69c6fbe18330d75,763042,male,44,yes,TRUE,NA
c586fcd92c2d0b22bb84371896be28f2,1397323,female,32,yes,TRUE,none
10d5fcd0377769b9f26bd5854393fde6,568183,male,32,yes,FALSE,NA
41fcac3b38af50694df77f52e8d39d68,857736,male,34,yes,TRUE,NA
7118d96e7561d9c08740c45631c0a474,795371,female,27,yes,TRUE,NA
c706c7b82b710f1ad4ff1d0b08e20c0f,1353786,female,48,yes,TRUE,NA
bc23ddb4d9fe0710c442a83aad57a640,422055,female,53,yes,TRUE,NA
