"subject_id","story","social_interaction","relationship","likert_rating"
"f2ef57c3f9c16cb0d0e0d280585a41da","conversation","precedent","more",5
"f2ef57c3f9c16cb0d0e0d280585a41da","conversation","precedent","equal",4
"f2ef57c3f9c16cb0d0e0d280585a41da","conversation","precedent","less",3
"f2ef57c3f9c16cb0d0e0d280585a41da","groceries","no_interaction","more",4
"f2ef57c3f9c16cb0d0e0d280585a41da","groceries","no_interaction","equal",6
"f2ef57c3f9c16cb0d0e0d280585a41da","groceries","no_interaction","less",4
"f2ef57c3f9c16cb0d0e0d280585a41da","restaurant","reciprocity","more",4
"f2ef57c3f9c16cb0d0e0d280585a41da","restaurant","reciprocity","equal",6
"f2ef57c3f9c16cb0d0e0d280585a41da","restaurant","reciprocity","less",4
"f2ef57c3f9c16cb0d0e0d280585a41da","coffee","reciprocity","more",4
"f2ef57c3f9c16cb0d0e0d280585a41da","coffee","reciprocity","equal",6
"f2ef57c3f9c16cb0d0e0d280585a41da","coffee","reciprocity","less",4
"f2ef57c3f9c16cb0d0e0d280585a41da","group project","no_interaction","more",4
"f2ef57c3f9c16cb0d0e0d280585a41da","group project","no_interaction","equal",6
"f2ef57c3f9c16cb0d0e0d280585a41da","group project","no_interaction","less",4
"f2ef57c3f9c16cb0d0e0d280585a41da","meeting location","reciprocity","more",4
"f2ef57c3f9c16cb0d0e0d280585a41da","meeting location","reciprocity","equal",5
"f2ef57c3f9c16cb0d0e0d280585a41da","meeting location","reciprocity","less",4
"f2ef57c3f9c16cb0d0e0d280585a41da","feedback","precedent","more",5
"f2ef57c3f9c16cb0d0e0d280585a41da","feedback","precedent","equal",5
"f2ef57c3f9c16cb0d0e0d280585a41da","feedback","precedent","less",4
"f2ef57c3f9c16cb0d0e0d280585a41da","police","precedent","more",3
"f2ef57c3f9c16cb0d0e0d280585a41da","police","precedent","equal",4
"f2ef57c3f9c16cb0d0e0d280585a41da","police","precedent","less",5
"f2ef57c3f9c16cb0d0e0d280585a41da","scheduling","no_interaction","more",3
"f2ef57c3f9c16cb0d0e0d280585a41da","scheduling","no_interaction","equal",4
