subject_id,story,response,strategy,altruistic_status_second,first_actual,second_actual,understood,pass_attention
9638f1f3e9e105a883e0299dba8c8cba,weekend,3,alternating,less,"The <strong>first time</strong> Abby and Evelyn spent the weekend together, they slept in, got brunch, and walked around the city.","The <strong>second time</strong> Abby and Evelyn spent the weekend together, they woke up early both days to do intense outdoor activities.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,babysitting,3,repeating,more,"The <strong>first time</strong> one of them volunteered to watch the other's children, Ryan dropped his children off at John's house, where John volunteered to watch Ryan's children so Ryan could have a date night.","The <strong>second time</strong> one of them volunteered to watch the other's children, Ryan dropped his children off at John's house, where John volunteered to watch Ryan's children so Ryan could have a date night.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,coffee,4,repeating,less,"The <strong>first time</strong> they got coffee, Andrew bought and brought coffee to the meeting for both of them.","The <strong>second time</strong> they got coffee, Andrew bought and brought coffee to the meeting for both of them.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,fundraising,3,repeating,equal,"The <strong>first time</strong> they ran a race and fundraised together, Caroline took the lead on the advertising and fundraising, contacting and following up with her friends to ask them if they would like to donate to their charity.","The <strong>second time</strong> they ran a race and fundraised together, Caroline took the lead on the advertising and fundraising, contacting and following up with her friends to ask them if they would like to donate to their charity.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,police,5,alternating,less,"The <strong>first time</strong> they worked together to do paperwork, Jarred got to the office at 6am to do the day's paperwork, so that Justin could arrive later and go straight to their shared patrol car.","The <strong>second time</strong> they worked together to do paperwork, Justin got to the office at 6am to do the day's paperwork, so that Jarred could arrive later and go straight to their shared patrol car.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,housemates,3,alternating,more,"The <strong>first time</strong> either one of them noticed something damaged or missing or needed for the house, like pipes or wires or detergent or batteries, Sarah completed all the tasks on the list.","The <strong>second time</strong> either one of them noticed something damaged or missing or needed for the house, like pipes or wires or detergent or batteries, Anne completed all the tasks on the list.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,architects,6,repeating,more,"The <strong>first time</strong> they worked together on a design, Sonia meticulously double-checked their finished designs before they sent them out.","The <strong>second time</strong> they worked together on a design, Sonia meticulously double-checked their finished designs before they sent them out.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,meeting prep,3,repeating,just_met,"The <strong>first time</strong> Chloe and Victoria met, Chloe prepared the agenda for the meeting and booked the meeting room.","The <strong>second time</strong> Chloe and Victoria met, Chloe prepared the agenda for the meeting and booked the meeting room.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,groceries,4,alternating,equal,"The <strong>first time</strong> one of them helped the other out, Dylan helped carry Caleb's groceries up the stairs.","The <strong>second time</strong> one of them helped the other out, Caleb helped carry Dylan's groceries up the stairs.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,scheduling,5,alternating,just_met,"The <strong>first time</strong> Matt and William got a meal together, they got lunch on Wednesday at 12pm.","They <strong>second time</strong> Matt and William got a meal together, they got dinner on Wednesday at 7pm.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,feedback,3,repeating,equal,"The <strong>first time</strong> one of them gave feedback to the other, Samantha shared her work in progress, and Taylor gave feedback on it.","The <strong>second time</strong> one of them gave feedback to the other, Samantha shared her work in progress, and Taylor gave feedback on it.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,gifts,0,repeating,just_met,"The <strong>first time</strong> they exchanged gifts, the Lee family gave the Min family a precious and expensive gift.","The <strong>second time</strong> they exchanged gifts, the Lee family gave the Min family a precious and expensive gift.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,restaurant,3,alternating,more,"The <strong>first time</strong> Grace and Avery went out to eat after work, they went to the Indian restaurant.","The <strong>second time</strong> Grace and Avery went out to eat after work, they went to the Chinese restaurant.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,concerts,5,alternating,just_met,"The <strong>first time</strong> they went to a concert together, Allen paid for the tickets.","The <strong>second time</strong> they went to a concert together, Kevin paid for the tickets.",yes,TRUE
9638f1f3e9e105a883e0299dba8c8cba,group project,0,repeating,less,"The <strong>first time</strong> they met about the project, Maxwell contributed most of the ideas, delegated tasks to Ralph, and decided what to do next.","The <strong>second time</strong> they met about the project, Maxwell contributed most of the ideas, delegated tasks to Ralph, and decided what to do next.",yes,TRUE
