"subject_id","story","likert_rating","strategy","altruistic_status_second"
"038ecddfba7a11699158f7471c3c8223","coffee",4,"repeating","lower"
"038ecddfba7a11699158f7471c3c8223","gifts",4,"repeating","just_met"
"038ecddfba7a11699158f7471c3c8223","housemates",7,"alternating","higher"
"038ecddfba7a11699158f7471c3c8223","feedback",5,"repeating","equal"
"038ecddfba7a11699158f7471c3c8223","concerts",7,"alternating","just_met"
"038ecddfba7a11699158f7471c3c8223","meeting prep",3,"repeating","just_met"
"038ecddfba7a11699158f7471c3c8223","babysitting",5,"repeating","higher"
"038ecddfba7a11699158f7471c3c8223","fundraising",3,"repeating","equal"
"038ecddfba7a11699158f7471c3c8223","groceries",7,"alternating","equal"
"038ecddfba7a11699158f7471c3c8223","restaurant",7,"alternating","higher"
"038ecddfba7a11699158f7471c3c8223","group project",4,"repeating","lower"
"038ecddfba7a11699158f7471c3c8223","weekend",6,"alternating","lower"
"038ecddfba7a11699158f7471c3c8223","scheduling",6,"alternating","just_met"
"038ecddfba7a11699158f7471c3c8223","police",5,"alternating","lower"
"038ecddfba7a11699158f7471c3c8223","architects",4,"repeating","higher"
"038ecddfba7a11699158f7471c3c8223","family meals",7,"alternating","equal"
"e3fa6a6bc6aecd3be4dedc233254faad","coffee",4,"repeating","higher"
"e3fa6a6bc6aecd3be4dedc233254faad","groceries",5,"alternating","equal"
"e3fa6a6bc6aecd3be4dedc233254faad","family meals",3,"repeating","equal"
"e3fa6a6bc6aecd3be4dedc233254faad","group project",4,"alternating","lower"
"e3fa6a6bc6aecd3be4dedc233254faad","feedback",3,"repeating","lower"
"e3fa6a6bc6aecd3be4dedc233254faad","concerts",2,"repeating","just_met"
"e3fa6a6bc6aecd3be4dedc233254faad","police",3,"repeating","lower"
"e3fa6a6bc6aecd3be4dedc233254faad","babysitting",4,"alternating","higher"
"e3fa6a6bc6aecd3be4dedc233254faad","fundraising",3,"repeating","higher"
"e3fa6a6bc6aecd3be4dedc233254faad","weekend",2,"repeating","just_met"
"e3fa6a6bc6aecd3be4dedc233254faad","meeting prep",4,"alternating","just_met"
"e3fa6a6bc6aecd3be4dedc233254faad","housemates",NA,"alternating","lower"
"e3fa6a6bc6aecd3be4dedc233254faad","architects",4,"alternating","equal"
"e3fa6a6bc6aecd3be4dedc233254faad","scheduling",4,"alternating","higher"
"e3fa6a6bc6aecd3be4dedc233254faad","gifts",3,"repeating","equal"
"e3fa6a6bc6aecd3be4dedc233254faad","restaurant",4,"alternating","just_met"
"73d4d253c0e944038ea52f3953cd877b","restaurant",4,"repeating","equal"
"73d4d253c0e944038ea52f3953cd877b","scheduling",4,"alternating","lower"
"73d4d253c0e944038ea52f3953cd877b","group project",3,"repeating","higher"
"73d4d253c0e944038ea52f3953cd877b","gifts",3,"repeating","just_met"
"73d4d253c0e944038ea52f3953cd877b","concerts",7,"alternating","equal"
"73d4d253c0e944038ea52f3953cd877b","meeting prep",4,"repeating","equal"
"73d4d253c0e944038ea52f3953cd877b","groceries",7,"alternating","just_met"
"73d4d253c0e944038ea52f3953cd877b","family meals",2,"repeating","just_met"
"73d4d253c0e944038ea52f3953cd877b","babysitting",7,"alternating","lower"
"73d4d253c0e944038ea52f3953cd877b","housemates",4,"repeating","higher"
"73d4d253c0e944038ea52f3953cd877b","weekend",6,"alternating","equal"
"73d4d253c0e944038ea52f3953cd877b","police",4,"alternating","higher"
"73d4d253c0e944038ea52f3953cd877b","feedback",4,"alternating","higher"
"73d4d253c0e944038ea52f3953cd877b","fundraising",5,"repeating","lower"
"73d4d253c0e944038ea52f3953cd877b","architects",4,"alternating","just_met"
"73d4d253c0e944038ea52f3953cd877b","coffee",4,"repeating","lower"
"75e9003d16580fe976155eb204b95076","restaurant",5,"alternating","lower"
"75e9003d16580fe976155eb204b95076","concerts",6,"alternating","higher"
"75e9003d16580fe976155eb204b95076","scheduling",3,"repeating","lower"
"75e9003d16580fe976155eb204b95076","architects",4,"repeating","just_met"
"75e9003d16580fe976155eb204b95076","fundraising",4,"repeating","just_met"
"75e9003d16580fe976155eb204b95076","coffee",4,"repeating","equal"
"75e9003d16580fe976155eb204b95076","gifts",5,"alternating","lower"
"75e9003d16580fe976155eb204b95076","group project",2,"repeating","lower"
"75e9003d16580fe976155eb204b95076","babysitting",6,"alternating","just_met"
"75e9003d16580fe976155eb204b95076","family meals",3,"repeating","equal"
"75e9003d16580fe976155eb204b95076","weekend",5,"alternating","equal"
"75e9003d16580fe976155eb204b95076","police",2,"repeating","higher"
"75e9003d16580fe976155eb204b95076","feedback",6,"alternating","just_met"
"75e9003d16580fe976155eb204b95076","groceries",6,"alternating","higher"
"75e9003d16580fe976155eb204b95076","meeting prep",3,"repeating","higher"
"75e9003d16580fe976155eb204b95076","housemates",6,"alternating","equal"
"b4c897a0a926267dcecac78c3a2aed94","babysitting",4,"repeating","just_met"
"b4c897a0a926267dcecac78c3a2aed94","gifts",5,"alternating","lower"
"b4c897a0a926267dcecac78c3a2aed94","coffee",5,"alternating","equal"
"b4c897a0a926267dcecac78c3a2aed94","police",4,"repeating","equal"
"b4c897a0a926267dcecac78c3a2aed94","housemates",6,"alternating","just_met"
