subject_id,story,strategy,altruistic_status_second,annoyed,satisfied,understood,pass_attention
821eb5095d5427a178420838220a2c1e,group project,alternating,less,2,1,yes,TRUE
821eb5095d5427a178420838220a2c1e,gifts,repeating,less,0,5,yes,TRUE
821eb5095d5427a178420838220a2c1e,fundraising,alternating,just_met,0,5,yes,TRUE
821eb5095d5427a178420838220a2c1e,architects,alternating,just_met,0,4,yes,TRUE
821eb5095d5427a178420838220a2c1e,police,alternating,more,0,6,yes,TRUE
821eb5095d5427a178420838220a2c1e,feedback,repeating,just_met,1,2,yes,TRUE
821eb5095d5427a178420838220a2c1e,babysitting,repeating,just_met,0,6,yes,TRUE
821eb5095d5427a178420838220a2c1e,concerts,repeating,more,0,4,yes,TRUE
821eb5095d5427a178420838220a2c1e,restaurant,repeating,less,0,5,yes,TRUE
821eb5095d5427a178420838220a2c1e,meeting prep,alternating,more,0,5,yes,TRUE
821eb5095d5427a178420838220a2c1e,family meals,alternating,equal,0,6,yes,TRUE
821eb5095d5427a178420838220a2c1e,coffee,alternating,equal,0,6,yes,TRUE
821eb5095d5427a178420838220a2c1e,weekend,repeating,equal,0,5,yes,TRUE
821eb5095d5427a178420838220a2c1e,housemates,repeating,equal,0,4,yes,TRUE
821eb5095d5427a178420838220a2c1e,scheduling,alternating,less,0,5,yes,TRUE
821eb5095d5427a178420838220a2c1e,groceries,repeating,more,0,6,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,police,alternating,equal,0,6,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,groceries,repeating,more,0,6,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,meeting prep,repeating,less,1,4,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,feedback,alternating,equal,0,6,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,gifts,alternating,more,2,4,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,weekend,alternating,less,0,5,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,babysitting,alternating,just_met,0,6,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,architects,repeating,more,0,5,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,coffee,repeating,just_met,0,5,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,group project,repeating,equal,3,3,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,fundraising,repeating,just_met,2,3,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,family meals,alternating,more,0,6,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,housemates,repeating,equal,0,5,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,concerts,alternating,less,0,6,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,scheduling,alternating,just_met,0,5,yes,TRUE
e1cc628812f7e403c482ae97e60a71d1,restaurant,repeating,less,0,6,yes,TRUE
d6d607e8ea2220c319d53963078c2db2,feedback,repeating,just_met,1,3,yes,TRUE
