"subject_id","story","likert_rating","strategy","altruistic_status_second"
"87859ebe274168633eea12c09510439c","police",7,"alternating","higher"
"87859ebe274168633eea12c09510439c","fundraising",7,"alternating","just_met"
"87859ebe274168633eea12c09510439c","coffee",4,"repeating","higher"
"87859ebe274168633eea12c09510439c","concerts",7,"alternating","equal"
"87859ebe274168633eea12c09510439c","gifts",3,"repeating","equal"
"87859ebe274168633eea12c09510439c","babysitting",7,"alternating","lower"
"87859ebe274168633eea12c09510439c","housemates",1,"repeating","lower"
"87859ebe274168633eea12c09510439c","meeting prep",3,"repeating","equal"
"87859ebe274168633eea12c09510439c","weekend",7,"alternating","higher"
"87859ebe274168633eea12c09510439c","feedback",7,"alternating","just_met"
"87859ebe274168633eea12c09510439c","architects",7,"alternating","lower"
"87859ebe274168633eea12c09510439c","restaurant",2,"repeating","lower"
"87859ebe274168633eea12c09510439c","group project",4,"repeating","higher"
"87859ebe274168633eea12c09510439c","family meals",3,"repeating","just_met"
"87859ebe274168633eea12c09510439c","scheduling",7,"alternating","equal"
"87859ebe274168633eea12c09510439c","groceries",4,"repeating","just_met"
"95aeaeba623818da114cd2569ab16617","architects",7,"repeating","equal"
"95aeaeba623818da114cd2569ab16617","group project",3,"repeating","lower"
"95aeaeba623818da114cd2569ab16617","groceries",6,"repeating","equal"
"95aeaeba623818da114cd2569ab16617","weekend",7,"alternating","just_met"
"95aeaeba623818da114cd2569ab16617","police",7,"alternating","lower"
"95aeaeba623818da114cd2569ab16617","feedback",7,"alternating","lower"
"95aeaeba623818da114cd2569ab16617","meeting prep",2,"repeating","just_met"
"95aeaeba623818da114cd2569ab16617","coffee",7,"alternating","higher"
"95aeaeba623818da114cd2569ab16617","scheduling",2,"repeating","higher"
"95aeaeba623818da114cd2569ab16617","housemates",1,"repeating","lower"
"95aeaeba623818da114cd2569ab16617","restaurant",1,"repeating","just_met"
"95aeaeba623818da114cd2569ab16617","gifts",7,"alternating","equal"
"95aeaeba623818da114cd2569ab16617","concerts",7,"alternating","just_met"
"95aeaeba623818da114cd2569ab16617","fundraising",7,"alternating","higher"
"95aeaeba623818da114cd2569ab16617","babysitting",2,"repeating","higher"
"95aeaeba623818da114cd2569ab16617","family meals",7,"alternating","equal"
"3c3dd306b52494671a3ed51d16d676ce","meeting prep",7,"alternating","just_met"
"3c3dd306b52494671a3ed51d16d676ce","architects",7,"alternating","equal"
"3c3dd306b52494671a3ed51d16d676ce","feedback",6,"repeating","lower"
"3c3dd306b52494671a3ed51d16d676ce","concerts",2,"repeating","just_met"
"3c3dd306b52494671a3ed51d16d676ce","scheduling",6,"alternating","higher"
"3c3dd306b52494671a3ed51d16d676ce","housemates",7,"alternating","lower"
"3c3dd306b52494671a3ed51d16d676ce","babysitting",7,"alternating","higher"
"3c3dd306b52494671a3ed51d16d676ce","coffee",6,"repeating","higher"
"3c3dd306b52494671a3ed51d16d676ce","weekend",2,"repeating","just_met"
"3c3dd306b52494671a3ed51d16d676ce","police",3,"repeating","lower"
"3c3dd306b52494671a3ed51d16d676ce","gifts",4,"repeating","equal"
"3c3dd306b52494671a3ed51d16d676ce","group project",5,"alternating","lower"
"3c3dd306b52494671a3ed51d16d676ce","fundraising",6,"repeating","higher"
"3c3dd306b52494671a3ed51d16d676ce","groceries",7,"alternating","equal"
"3c3dd306b52494671a3ed51d16d676ce","restaurant",7,"alternating","just_met"
"3c3dd306b52494671a3ed51d16d676ce","family meals",5,"repeating","equal"
"d502159613fc25e6f36bf15e7b8ffde1","restaurant",7,"alternating","just_met"
"d502159613fc25e6f36bf15e7b8ffde1","police",2,"repeating","equal"
"d502159613fc25e6f36bf15e7b8ffde1","housemates",7,"alternating","lower"
"d502159613fc25e6f36bf15e7b8ffde1","fundraising",7,"alternating","higher"
"d502159613fc25e6f36bf15e7b8ffde1","scheduling",2,"repeating","just_met"
"d502159613fc25e6f36bf15e7b8ffde1","babysitting",3,"repeating","higher"
"d502159613fc25e6f36bf15e7b8ffde1","meeting prep",3,"repeating","equal"
"d502159613fc25e6f36bf15e7b8ffde1","family meals",2,"repeating","lower"
"d502159613fc25e6f36bf15e7b8ffde1","group project",3,"repeating","just_met"
"d502159613fc25e6f36bf15e7b8ffde1","groceries",7,"alternating","equal"
"d502159613fc25e6f36bf15e7b8ffde1","architects",7,"alternating","higher"
"d502159613fc25e6f36bf15e7b8ffde1","feedback",4,"repeating","higher"
"d502159613fc25e6f36bf15e7b8ffde1","concerts",7,"alternating","equal"
"d502159613fc25e6f36bf15e7b8ffde1","gifts",7,"alternating","just_met"
"d502159613fc25e6f36bf15e7b8ffde1","coffee",2,"repeating","lower"
"d502159613fc25e6f36bf15e7b8ffde1","weekend",5,"alternating","lower"
"1b7103d7ff7a6126002dbe96c1d2c3fc","restaurant",7,"alternating","higher"
"1b7103d7ff7a6126002dbe96c1d2c3fc","meeting prep",7,"alternating","lower"
"1b7103d7ff7a6126002dbe96c1d2c3fc","fundraising",4,"repeating","equal"
"1b7103d7ff7a6126002dbe96c1d2c3fc","babysitting",7,"alternating","equal"
"1b7103d7ff7a6126002dbe96c1d2c3fc","group project",4,"repeating","higher"
"1b7103d7ff7a6126002dbe96c1d2c3fc","coffee",7,"alternating","just_met"
"1b7103d7ff7a6126002dbe96c1d2c3fc","groceries",2,"repeating","lower"
"1b7103d7ff7a6126002dbe96c1d2c3fc","family meals",7,"alternating","just_met"
"1b7103d7ff7a6126002dbe96c1d2c3fc","weekend",2,"repeating","just_met"
"1b7103d7ff7a6126002dbe96c1d2c3fc","feedback",7,"alternating","equal"
"1b7103d7ff7a6126002dbe96c1d2c3fc","concerts",2,"repeating","lower"
