subject_id,story,altruistic_status,first_meeting,stage,response,response_status,strategy,understood
b18f1b201142a38429df7158f2219492,meeting location,equal,alice,first,alice,equal,NA,yes
b18f1b201142a38429df7158f2219492,meeting location,equal,alice,second,alice,equal,alternating,yes
b18f1b201142a38429df7158f2219492,feedback,equal,bob,first,alice,equal,NA,yes
b18f1b201142a38429df7158f2219492,feedback,equal,bob,second,alice,equal,alternating,yes
b18f1b201142a38429df7158f2219492,gifts,more,alice,first,alice,more,NA,yes
b18f1b201142a38429df7158f2219492,gifts,more,alice,second,alice,more,alternating,yes
b18f1b201142a38429df7158f2219492,meeting prep,more,bob,first,bob,more,NA,yes
b18f1b201142a38429df7158f2219492,meeting prep,more,bob,second,bob,more,alternating,yes
b18f1b201142a38429df7158f2219492,weekend,less,bob,first,bob,less,NA,yes
b18f1b201142a38429df7158f2219492,weekend,less,bob,second,alice,more,alternating,yes
b18f1b201142a38429df7158f2219492,family meals,less,bob,first,bob,less,NA,yes
b18f1b201142a38429df7158f2219492,family meals,less,bob,second,bob,less,alternating,yes
b18f1b201142a38429df7158f2219492,coffee,less,alice,first,bob,more,NA,yes
b18f1b201142a38429df7158f2219492,coffee,less,alice,second,alice,less,alternating,yes
b18f1b201142a38429df7158f2219492,babysitting,more,bob,first,alice,less,NA,yes
b18f1b201142a38429df7158f2219492,babysitting,more,bob,second,bob,more,alternating,yes
b18f1b201142a38429df7158f2219492,groceries,less,alice,first,alice,less,NA,yes
b18f1b201142a38429df7158f2219492,groceries,less,alice,second,alice,less,alternating,yes
b18f1b201142a38429df7158f2219492,conversation,less,alice,first,bob,more,NA,yes
b18f1b201142a38429df7158f2219492,conversation,less,alice,second,alice,less,alternating,yes
b18f1b201142a38429df7158f2219492,housemates,equal,bob,first,alice,equal,NA,yes
b18f1b201142a38429df7158f2219492,housemates,equal,bob,second,bob,equal,alternating,yes
b18f1b201142a38429df7158f2219492,group project,more,alice,first,alice,more,NA,yes
b18f1b201142a38429df7158f2219492,group project,more,alice,second,alice,more,alternating,yes
b18f1b201142a38429df7158f2219492,restaurant,equal,bob,first,alice,equal,NA,yes
b18f1b201142a38429df7158f2219492,restaurant,equal,bob,second,alice,equal,alternating,yes
b18f1b201142a38429df7158f2219492,architects,more,alice,first,alice,more,NA,yes
b18f1b201142a38429df7158f2219492,architects,more,alice,second,alice,more,alternating,yes
b18f1b201142a38429df7158f2219492,concerts,equal,alice,first,alice,equal,NA,yes
b18f1b201142a38429df7158f2219492,concerts,equal,alice,second,bob,equal,alternating,yes
b18f1b201142a38429df7158f2219492,police,equal,alice,first,alice,equal,NA,yes
b18f1b201142a38429df7158f2219492,police,equal,alice,second,bob,equal,alternating,yes
b18f1b201142a38429df7158f2219492,scheduling,less,bob,first,bob,less,NA,yes
b18f1b201142a38429df7158f2219492,scheduling,less,bob,second,bob,less,alternating,yes
b18f1b201142a38429df7158f2219492,fundraising,more,bob,first,bob,more,NA,yes
b18f1b201142a38429df7158f2219492,fundraising,more,bob,second,bob,more,alternating,yes
b18f1b201142a38429df7158f2219492,attention,NA,NA,second,NA,NA,NA,yes
78c1395b7720035b691a09cef9e4d9b9,meeting prep,more,bob,first,alice,less,NA,yes
78c1395b7720035b691a09cef9e4d9b9,meeting prep,more,bob,second,alice,less,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,police,more,bob,first,alice,less,NA,yes
78c1395b7720035b691a09cef9e4d9b9,police,more,bob,second,alice,less,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,restaurant,equal,bob,first,bob,equal,NA,yes
78c1395b7720035b691a09cef9e4d9b9,restaurant,equal,bob,second,alice,equal,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,group project,less,alice,first,alice,less,NA,yes
78c1395b7720035b691a09cef9e4d9b9,group project,less,alice,second,alice,less,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,gifts,more,alice,first,alice,more,NA,yes
78c1395b7720035b691a09cef9e4d9b9,gifts,more,alice,second,alice,more,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,concerts,equal,bob,first,alice,equal,NA,yes
78c1395b7720035b691a09cef9e4d9b9,concerts,equal,bob,second,alice,equal,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,weekend,more,alice,first,bob,less,NA,yes
78c1395b7720035b691a09cef9e4d9b9,weekend,more,alice,second,bob,less,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,feedback,more,alice,first,alice,more,NA,yes
78c1395b7720035b691a09cef9e4d9b9,feedback,more,alice,second,bob,less,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,babysitting,less,alice,first,alice,less,NA,yes
78c1395b7720035b691a09cef9e4d9b9,babysitting,less,alice,second,alice,less,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,fundraising,more,bob,first,bob,more,NA,yes
78c1395b7720035b691a09cef9e4d9b9,fundraising,more,bob,second,bob,more,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,architects,less,bob,first,alice,more,NA,yes
78c1395b7720035b691a09cef9e4d9b9,architects,less,bob,second,bob,less,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,housemates,equal,alice,first,bob,equal,NA,yes
78c1395b7720035b691a09cef9e4d9b9,housemates,equal,alice,second,bob,equal,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,coffee,less,bob,first,alice,more,NA,yes
78c1395b7720035b691a09cef9e4d9b9,coffee,less,bob,second,bob,less,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,family meals,less,alice,first,bob,more,NA,yes
78c1395b7720035b691a09cef9e4d9b9,family meals,less,alice,second,bob,more,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,scheduling,equal,alice,first,bob,equal,NA,yes
78c1395b7720035b691a09cef9e4d9b9,scheduling,equal,alice,second,bob,equal,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,conversation,equal,bob,first,alice,equal,NA,yes
78c1395b7720035b691a09cef9e4d9b9,conversation,equal,bob,second,bob,equal,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,meeting location,equal,alice,first,alice,equal,NA,yes
78c1395b7720035b691a09cef9e4d9b9,meeting location,equal,alice,second,bob,equal,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,groceries,less,bob,first,bob,less,NA,yes
78c1395b7720035b691a09cef9e4d9b9,groceries,less,bob,second,bob,less,alternating,yes
78c1395b7720035b691a09cef9e4d9b9,attention,NA,NA,second,NA,NA,NA,yes
ada0e127fab4e062e5233c38a943bdab,housemates,less,bob,first,alice,more,NA,yes
ada0e127fab4e062e5233c38a943bdab,housemates,less,bob,second,bob,less,alternating,yes
ada0e127fab4e062e5233c38a943bdab,police,equal,alice,first,alice,equal,NA,yes
ada0e127fab4e062e5233c38a943bdab,police,equal,alice,second,bob,equal,alternating,yes
