subject_id,story,altruistic_status,first_meeting,stage,response,response_status,strategy,understood
5743c964eb8ed0000ff798ac,family meals,less,alice,first,bob,more,,yes
5743c964eb8ed0000ff798ac,family meals,less,alice,second,alice,less,alternating,yes
5743c964eb8ed0000ff798ac,concerts,equal,bob,first,bob,equal,,yes
5743c964eb8ed0000ff798ac,concerts,equal,bob,second,bob,equal,repeating,yes
5743c964eb8ed0000ff798ac,housemates,equal,alice,first,alice,equal,,yes
5743c964eb8ed0000ff798ac,housemates,equal,alice,second,alice,equal,repeating,yes
5743c964eb8ed0000ff798ac,architects,less,bob,first,alice,more,,yes
5743c964eb8ed0000ff798ac,architects,less,bob,second,bob,less,alternating,yes
5743c964eb8ed0000ff798ac,meeting prep,more,bob,first,alice,less,,yes
5743c964eb8ed0000ff798ac,meeting prep,more,bob,second,bob,more,alternating,yes
5743c964eb8ed0000ff798ac,conversation,equal,bob,first,bob,equal,,yes
5743c964eb8ed0000ff798ac,conversation,equal,bob,second,bob,equal,repeating,yes
5743c964eb8ed0000ff798ac,police,more,bob,first,bob,more,,yes
5743c964eb8ed0000ff798ac,police,more,bob,second,bob,more,repeating,yes
5743c964eb8ed0000ff798ac,babysitting,less,alice,first,alice,less,,yes
5743c964eb8ed0000ff798ac,babysitting,less,alice,second,alice,less,repeating,yes
5743c964eb8ed0000ff798ac,scheduling,equal,alice,first,bob,equal,,yes
5743c964eb8ed0000ff798ac,scheduling,equal,alice,second,alice,equal,alternating,yes
5743c964eb8ed0000ff798ac,weekend,more,alice,first,bob,less,,yes
5743c964eb8ed0000ff798ac,weekend,more,alice,second,alice,more,alternating,yes
5743c964eb8ed0000ff798ac,coffee,less,bob,first,alice,more,,yes
5743c964eb8ed0000ff798ac,coffee,less,bob,second,bob,less,alternating,yes
5743c964eb8ed0000ff798ac,groceries,less,bob,first,bob,less,,yes
5743c964eb8ed0000ff798ac,groceries,less,bob,second,bob,less,repeating,yes
5743c964eb8ed0000ff798ac,feedback,more,alice,first,alice,more,,yes
